Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption)
123,Mauritania,Sub-Saharan Africa,4.292,0.648,1.272,0.285,0.096,0.137
124,Congo (Brazzaville),Sub-Saharan Africa,4.291,0.809,0.832,0.29,0.435,0.08
125,Georgia,Central and Eastern Europe,4.286,0.951,0.571,0.65,0.309,0.252
126,Congo (Kinshasa),Sub-Saharan Africa,4.28,0.092,1.229,0.191,0.236,0.06
127,Mali,Sub-Saharan Africa,4.19,0.476,1.281,0.169,0.307,0.105
128,Ivory Coast,Sub-Saharan Africa,4.18,0.603,0.905,0.049,0.448,0.13
129,Cambodia,Southeastern Asia,4.168,0.602,1.006,0.43,0.633,0.068
130,Sudan,Sub-Saharan Africa,4.139,0.66,1.214,0.291,0.015,0.09
131,Ghana,Sub-Saharan Africa,4.12,0.667,0.874,0.296,0.423,0.025
132,Ukraine,Central and Eastern Europe,4.096,0.895,1.395,0.576,0.123,0.023
133,Uganda,Sub-Saharan Africa,4.081,0.381,1.13,0.218,0.443,0.057
134,Burkina Faso,Sub-Saharan Africa,4.032,0.35,1.043,0.216,0.324,0.12
135,Niger,Sub-Saharan Africa,4.028,0.162,0.993,0.269,0.364,0.139
136,Malawi,Sub-Saharan Africa,3.97,0.233,0.513,0.315,0.467,0.073
137,Chad,Sub-Saharan Africa,3.936,0.438,0.954,0.041,0.162,0.054
138,Zimbabwe,Sub-Saharan Africa,3.875,0.376,1.083,0.197,0.336,0.095
139,Lesotho,Sub-Saharan Africa,3.808,0.521,1.19,0.0,0.391,0.119
140,Angola,Sub-Saharan Africa,3.795,0.858,1.104,0.05,0.0,0.07
141,Afghanistan,Southern Asia,3.794,0.401,0.582,0.181,0.106,0.061
142,Botswana,Sub-Saharan Africa,3.766,1.122,1.222,0.342,0.505,0.099
143,Benin,Sub-Saharan Africa,3.657,0.431,0.435,0.21,0.426,0.061
144,Madagascar,Sub-Saharan Africa,3.644,0.306,0.913,0.375,0.189,0.067
145,Haiti,Latin America and Caribbean,3.603,0.369,0.64,0.277,0.03,0.1
146,Yemen,Middle East and Northern Africa,3.593,0.592,0.935,0.31,0.249,0.057
147,South Sudan,Sub-Saharan Africa,3.591,0.397,0.601,0.163,0.147,0.117
148,Liberia,Sub-Saharan Africa,3.533,0.119,0.872,0.23,0.333,0.039
149,Guinea,Sub-Saharan Africa,3.507,0.245,0.791,0.194,0.349,0.111
150,Togo,Sub-Saharan Africa,3.495,0.305,0.432,0.247,0.38,0.096
151,Rwanda,Sub-Saharan Africa,3.471,0.369,0.946,0.326,0.582,0.455
152,Syria,Middle East and Northern Africa,3.462,0.777,0.396,0.501,0.082,0.151
153,Tanzania,Sub-Saharan Africa,3.349,0.511,1.042,0.365,0.39,0.066
154,Burundi,Sub-Saharan Africa,2.905,0.092,0.63,0.152,0.06,0.084
155,Central African Republic,Sub-Saharan Africa,2.693,0.0,0.0,0.019,0.271,0.057
